target_id	length	eff_length	est_counts	tpm
Smic1	426	217.669	0	0
Smic2	981	769.824	4	0.593652
Smic3	1044	832.824	0	0
Smic4	10524	10312.8	212	2.34867
Smic5	2184	1972.82	121	7.00746
Smic6	528	318.412	25	8.97044
Smic7	852	641.117	33	5.88085
Smic8	1980	1768.82	58	3.74634
Smic9	513	303.506	10	3.7644
Smic10	3087	2875.82	125	4.96605
Smic11	4134	3922.82	36	1.0485
Smic12	6045	5833.82	212	4.15189
Smic13	2631	2419.82	43	2.03024
Smic14	312	112.508	14	14.217
Smic15	2481	2269.82	260	13.0871
Smic16	708	497.963	51	11.7014
Smic17	837	626.117	150	27.3715
Smic18	1068	856.824	156	20.8016
Smic19	1980	1768.82	17	1.09806
Smic20	1905	1693.82	0	0
Smic21	996	784.824	0	0
Smic22	1980	1768.82	0	0
Smic23	1821	1609.82	137	9.72312
Smic24	2373	2161.82	130	6.87047
Smic25	1173	961.824	69	8.19628
Smic26	5430	5218.82	144.222	3.15735
Smic27	11499	11287.8	35	0.354259
Smic28	9642	9430.82	449	5.43952
Smic29	3465	3253.82	178	6.25013
Smic30	5217	5005.82	19	0.433652
Smic31	1281	1069.82	131	13.9901
Smic32	1134	922.824	32	3.96182
Smic33	747	536.805	26	5.53375
Smic34	4509	4297.82	536.425	14.2601
Smic35	663	453.109	25	6.30378
Smic36	3702	3490.82	124.563	4.07685
Smic37	1983	1771.82	26	1.67655
Smic38	648	438.109	11	2.86863
Smic39	1083	871.824	0	0
Smic40	4248	4036.82	96	2.71703
Smic41	8046	7834.82	104	1.51659
Smic42	3612	3400.82	70	2.35168
Smic43	2310	2098.82	90	4.89925
Smic44	345	141.24	0	0
Smic45	5580	5368.82	119.046	2.53337
Smic46	717	506.963	0	0
Smic47	2067	1855.82	0	0
Smic48	1422	1210.82	120	11.3231
Smic49	1440	1228.82	28	2.60335
Smic50	7827	7615.82	3	0.0450057
Smic51	894	683.117	31	5.18478
Smic52	375	168.758	0	0
Smic53	1182	970.824	0	0
Smic54	750	539.805	57	12.0643
Smic55	2547	2335.82	13	0.635868
Smic56	360	154.762	0	0
Smic57	1452	1240.82	59	5.43257
Smic58	336	133.257	0	0
Smic59	669	459.109	5	1.24428
Smic60	2397	2185.82	65	3.39752
Smic61	1974	1762.82	0	0
Smic62	867	656.117	0	0
Smic63	1680	1468.82	20	1.55569
Smic64	384	177.249	0	0
Smic65	6501	6289.82	0	0
Smic66	867	656.117	0	0
Smic67	528	318.412	2	0.717635
Smic68	645	435.109	35	9.19039
Smic69	696	486.012	6	1.41048
Smic70	2052	1840.82	27	1.67577
Smic71	558	348.344	11	3.60784
Smic72	7701	7489.82	0	0
Smic73	1680	1468.82	0	0
Smic74	1659	1447.82	0	0
Smic75	471	262.004	0	0
Smic76	1341	1129.82	2	0.202247
Smic77	1809	1597.82	0	0
Smic78	408	200.133	4	2.28352
Smic79	5526	5314.82	54.954	1.18134
Smic80	8853	8641.82	0	0
Smic81	3081	2869.82	0	0
Smic82	2970	2758.82	0	0
Smic83	11577	11365.8	21	0.211097
Smic84	2085	1873.82	13	0.792644
Smic85	687	477.109	4	0.957869
Smic86	2862	2650.82	7	0.301704
Smic87	4305	4093.82	14.9132	0.416202
Smic88	4017	3805.82	4	0.120081
Smic89	2373	2161.82	2.00298	0.105857
Smic90	9591	9379.82	68	0.828281
Smic91	591	381.272	0	0
Smic92	3213	3001.82	72	2.74038
Smic93	3789	3577.82	120	3.832
Smic94	3246	3034.82	87	3.27529
Smic95	801	590.239	377	72.9755
Smic96	3297	3085.82	105	3.8876
Smic97	2724	2512.82	33	1.50043
Smic98	237	55.9743	4	8.16459
Smic99	8709	8497.82	252	3.3881
Smic100	1356	1144.82	22	2.19557
Smic101	4716	4504.82	53	1.34419
Smic102	5841	5629.82	9	0.182646
Smic103	750	539.805	0	0
Smic104	207	36.6411	40	124.725
Smic105	1641	1429.82	180	14.3831
Smic106	450	241.255	0	0
Smic107	1383	1171.82	23	2.24248
Smic108	1815	1603.82	58.1826	4.14476
Smic109	1257	1045.82	129	14.0927
Smic110	960	748.9	91	13.8829
Smic111	432	223.602	12	6.13152
Smic112	1224	1012.82	0	0
Smic113	1011	799.824	5	0.714231
Smic114	981	769.824	0	0
Smic115	1725	1513.82	60	4.52834
Smic116	1752	1540.82	143	10.6034
Smic117	1485	1273.82	26	2.33199
Smic118	261	72.8865	0	0
Smic119	10275	10063.8	26	0.295171
Smic120	1596	1384.82	85	7.01274
Smic121	8121	7909.82	0	0
Smic122	5316	5104.82	0	0
Smic123	3126	2914.82	14	0.548756
Smic124	336	133.257	26	22.2919
Smic125	489	279.623	1	0.408593
Smic126	240	58.0165	18	35.4474
Smic127	288	93.1267	137	168.078
Smic128	1158	946.824	0	0
Smic129	12531	12319.8	392.779	3.64257
Smic130	9963	9751.82	3	0.0351479
Smic131	15693	15481.8	272	2.00729
Smic132	4320	4108.82	229	6.36768
Smic133	651	441.109	0	0
Smic134	1536	1324.82	0	0
Smic135	8673	8461.82	200	2.70041
Smic136	4059	3847.82	117	3.47403
Smic137	1191	979.824	99	11.5438
Smic138	1473	1261.82	138	12.4952
Smic139	1593	1381.82	20	1.65364
Smic140	318	117.49	0	0
Smic141	972	760.9	54	8.10829
Smic142	9054	8842.82	0	0
Smic143	720	509.912	7	1.56843
Smic144	2163	1951.82	49	2.86826
Smic145	3831	3619.82	25	0.789071
Smic146	300	102.598	4	4.45433
Smic147	1923	1711.82	18	1.20137
Smic148	2754	2542.82	377	16.939
Smic149	855	644.117	25	4.43444
Smic150	726	515.912	11	2.43602
Smic151	1697	1485.82	0	0
Smic152	2064	1852.82	0	0
Smic153	1056	844.824	0	0
Smic154	1716	1504.82	82	6.22575
Smic155	726	515.912	5	1.10728
Smic156	897	686.117	9	1.49868
Smic157	981	769.824	97	14.3961
Smic158	615	405.192	1	0.28197
Smic159	2568	2356.82	68	3.29644
Smic160	789	578.471	28	5.53018
Smic161	1929	1717.82	9	0.598587
Smic162	618	408.192	1	0.279897
Smic163	1587	1375.82	2	0.166085
Smic164	222	45.9989	4	9.93518
Smic165	939	728.047	1	0.156929
Smic166	8343	8131.82	0	0
Smic167	1125	913.824	32	4.00084
Smic168	282	88.3186	0	0
Smic169	942	731.047	0	0
Smic170	1062	850.824	44	5.90849
Smic171	1632	1420.82	35	2.81443
Smic172	1038	826.824	76	10.5018
Smic173	819	608.178	5	0.939296
Smic174	318	117.49	0	0
Smic175	1710	1498.82	12	0.914732
Smic176	3033	2821.82	32	1.29564
Smic177	5637	5425.82	55	1.15814
Smic178	2661	2449.82	47	2.19193
Smic179	8001	7789.82	1	0.0146668
Smic180	4557	4345.82	103	2.70787
Smic181	459	250.107	7	3.19768
Smic182	1824	1612.82	50	3.54198
Smic183	2445	2233.82	17	0.869488
Smic184	300	102.598	0	0
Smic185	1722	1510.82	31	2.34429
Smic186	849	638.117	15	2.68568
Smic187	1209	997.824	27	3.09153
Smic188	357	152.154	18	13.5161
Smic189	2271	2059.82	108	5.99042
Smic190	1224	1012.82	130	14.6647
Smic191	3345	3133.82	112.53	4.10257
Smic192	11589	11377.8	299.793	3.01041
Smic193	1356	1144.82	13	1.29738
Smic194	570	360.309	3	0.951283
Smic195	597	387.272	216	63.7238
Smic196	1416	1204.82	20	1.89657
Smic197	459	250.107	7	3.19768
Smic198	2025	1813.82	117.076	7.37455
Smic199	723	512.912	27	6.01429
Smic200	3342	3130.82	66	2.40851
Smic201	1392	1180.82	18	1.74161
Smic202	4128	3916.82	0	0
Smic203	702	492.012	765.96	177.866
Smic204	4152	3940.82	333	9.6543
Smic205	567	357.309	0	0
Smic206	1419	1207.82	0	0
Smic207	1497	1285.82	61	5.42015
Smic208	2016	1804.82	35	2.21563
Smic209	483	273.788	37	15.4401
Smic210	5061	4849.82	151	3.55725
Smic211	4062	3850.82	678	20.1159
Smic212	6291	6079.82	436.003	8.19336
Smic213	525	315.412	20	7.24461
Smic214	273	81.7496	23	32.1444
Smic215	1125	913.824	130	16.2534
Smic216	513	303.506	4	1.50576
Smic217	1197	985.824	102	11.8213
Smic218	822	611.178	1	0.186937
Smic219	402	194.371	2	1.17561
Smic220	621	411.192	9	2.5007
Smic221	981	769.824	24	3.56191
Smic222	10011	9799.82	60	0.699514
Smic223	3162	2950.82	4	0.154875
Smic224	2043	1831.82	139	8.66951
Smic225	423	214.734	51	27.1352
Smic226	3342	3130.82	291	10.6193
Smic227	3414	3202.82	138	4.92277
Smic228	1110	898.824	8	1.0169
Smic229	1653	1441.82	43	3.40737
Smic230	813	602.239	5	0.94856
Smic231	1779	1567.82	2	0.145746
Smic232	1257	1045.82	7	0.764721
Smic233	603	393.233	0	0
Smic234	1587	1375.82	10	0.830425
Smic235	2103	1891.82	43	2.59688
Smic236	1257	1045.82	34	3.71436
Smic237	1791	1579.82	8	0.578555
Smic238	1830	1618.82	12	0.846925
Smic239	4206	3994.82	120	3.432
Smic240	3345	3133.82	273	9.95294
Smic241	4983	4771.82	398.004	9.52942
Smic242	1227	1015.82	4	0.449888
Smic243	4314	4102.82	53	1.4759
Smic244	300	102.598	0	0
Smic245	1416	1204.82	16	1.51726
Smic246	1635	1423.82	110	8.82673
Smic247	4575	4363.82	28	0.733085
Smic248	4995	4783.82	114	2.72266
Smic249	219	44.1008	1	2.5907
Smic250	5133	4921.82	212	4.92123
Smic251	6135	5923.82	0	0
Smic252	4254	4042.82	12	0.339125
Smic253	4260	4048.82	0	0
Smic254	888	677.117	2	0.337466
Smic255	2718	2506.82	37	1.68633
Smic256	2100	1888.82	43	2.601
Smic257	939	728.047	41	6.4341
Smic258	816	605.239	25	4.71929
Smic259	1902	1690.82	88.3889	5.97259
Smic260	2829	2617.82	60.1454	2.62498
Smic261	6369	6157.82	300	5.56618
Smic262	1254	1042.82	14	1.53384
Smic263	4779	4567.82	34.2103	0.85568
Smic264	1872	1660.82	42	2.88928
Smic265	2493	2281.82	8	0.400563
Smic266	1098	886.824	0	0
Smic267	2697	2485.82	2709.28	124.522
Smic268	1731	1519.82	15	1.12762
Smic269	3525	3313.82	17	0.586115
Smic270	2346	2134.82	51.5183	2.75717
Smic271	507	297.537	549.21	210.893
Smic272	1887	1675.82	142.764	9.73317
Smic273	2853	2641.82	18	0.778452
Smic274	1287	1075.82	0	0
Smic275	2667	2455.82	196	9.11848
Smic276	1050	838.824	5	0.681024
Smic277	963	751.9	17	2.58316
Smic278	11742	11530.8	35	0.346794
Smic279	960	748.9	0.649382	0.0990695
Smic280	1503	1291.82	22	1.94573
Smic281	10632	10420.8	0	0
Smic282	285	90.7644	5	6.29387
Smic283	495	285.594	18	7.20089
Smic284	2625	2413.82	208	9.84512
Smic285	729	518.912	46	10.1281
Smic286	471	262.004	65	28.3445
Smic287	9933	9721.82	0	0
Smic288	285	90.7644	5	6.29387
Smic289	9855	9643.82	0	0
Smic290	1692	1480.82	70	5.4008
Smic291	4203	3991.82	119	3.40596
Smic292	417	208.905	10	5.46909
Smic293	375	168.758	5	3.38509
Smic294	3876	3664.82	0	0
Smic295	2931	2719.82	32	1.34423
Smic296	957	745.9	53	8.11818
Smic297	1326	1114.82	23	2.35714
Smic298	1560	1348.82	96	8.13166
Smic299	7095	6883.82	0	0
Smic300	717	506.963	0	0
Smic301	828	617.117	58	10.738
Smic302	585	375.272	3	0.913354
Smic303	1983	1771.82	43	2.77275
Smic304	1458	1246.82	14	1.28288
Smic305	2694	2482.82	90	4.14152
Smic306	3540	3328.82	0	0
Smic307	6468	6256.82	266	4.85726
Smic308	2484	2272.82	103	5.17768
Smic309	759	548.696	15.4131	3.20939
Smic310	303	104.957	2	2.17712
Smic311	3351	3139.82	75	2.7291
Smic312	9546	9334.82	14	0.171351
Smic313	1254	1042.82	49.83	5.45938
Smic314	1050	838.824	56.17	7.65063
Smic315	369	163.147	9	6.30272
Smic316	6393	6181.82	11	0.203301
Smic317	837	626.117	66	12.0435
Smic318	2460	2248.82	35	1.77818
Smic319	1623	1411.82	0	0
Smic320	828	617.117	3	0.555414
Smic321	990	778.824	0	0
Smic322	504	294.537	2	0.775808
Smic323	486	276.706	0	0
Smic324	270	79.466	0	0
Smic325	1023	811.824	4.00023	0.562971
Smic326	750	539.805	4	0.846615
Smic327	321	120.126	0	0
Smic328	597	387.272	0	0
Smic329	204	34.9484	9	29.4224
Smic330	2580	2368.82	58	2.79743
Smic331	3777	3565.82	0	0
Smic332	1272	1060.82	0	0
Smic333	7038	6826.82	168.53	2.82048
Smic334	3816	3604.82	98	3.10603
Smic335	2499	2287.82	0	0
Smic336	6087	5875.82	0	0
Smic337	636	426.109	17	4.55819
Smic338	2859	2647.82	106	4.57383
Smic339	435	226.444	0	0
Smic340	1227	1015.82	60	6.74833
Smic341	600	390.233	2	0.585558
Smic342	1953	1741.82	0	0
Smic343	1779	1567.82	7	0.51011
Smic344	3546	3334.82	320	10.9633
Smic345	708	497.963	41	9.40699
Smic346	297	100.14	0	0
Smic347	270	79.466	0	0
Smic348	1650	1438.82	0	0
Smic349	1494	1282.82	0	0
Smic350	3786	3574.82	0	0
Smic351	669	459.109	10	2.48856
Smic352	1467	1255.82	129	11.7361
Smic353	627	417.151	6	1.64332
Smic354	3558	3346.82	121	4.13063
Smic355	10131	9919.82	0	0
Smic356	1068	856.824	63	8.40064
Smic357	798	587.239	14	2.72381
Smic358	2082	1870.82	1	0.0610704
Smic359	5322	5110.82	46	1.02832
Smic360	1035	823.824	30	4.16054
Smic361	1260	1048.82	145	15.7953
Smic362	1170	958.824	61	7.26866
Smic363	1683	1471.82	267	20.7262
Smic364	399	191.566	2	1.19282
Smic365	1263	1051.82	30	3.25868
Smic366	2655	2443.82	35	1.63629
Smic367	246	62.0209	5	9.21076
Smic368	3534	3322.82	45	1.54728
Smic369	1677	1465.82	30	2.33831
Smic370	1578	1366.82	12	1.00307
Smic371	288	93.1267	3	3.68053
Smic372	1122	910.824	61	7.65171
Smic373	852	641.117	3	0.534623
Smic374	2538	2326.82	18	0.883837
Smic375	7395	7183.82	0	0
Smic376	2535	2323.82	61	2.99909
Smic377	19002	18790.8	192	1.1674
Smic378	3291	3079.82	133	4.93389
Smic379	3354	3142.82	255	9.27008
Smic380	360	154.762	13	9.59718
Smic381	1926	1714.82	27	1.7989
Smic382	2274	2062.82	3	0.166158
Smic383	9993	9781.82	168	1.96224
Smic384	1335	1123.82	0	0
Smic385	2238	2026.82	0	0
Smic386	5502	5290.82	47	1.01493
Smic387	753	542.751	34.6385	7.29157
Smic388	1905	1693.82	70	4.72164
Smic389	3837	3625.82	0	0
Smic390	771	560.586	0	0
Smic391	870	659.117	21	3.64016
Smic392	3576	3364.82	536	18.1998
Smic393	1146	934.824	0	0
Smic394	4242	4030.82	0	0
Smic395	1425	1213.82	2	0.188251
Smic396	1122	910.824	0	0
Smic397	3033	2821.82	0	0
Smic398	5229	5017.82	320	7.28615
Smic399	1179	967.824	24	2.83321
Smic400	2073	1861.82	3	0.184097
Smic401	5544	5332.82	19	0.407061
Smic402	3522	3310.82	0	0
Smic403	615	405.192	0	0
Smic404	3873	3661.82	22.509	0.7023
Smic405	4791	4579.82	0	0
Smic406	915	704.047	0	0
Smic407	1692	1480.82	0	0
Smic408	3540	3328.82	38	1.30424
Smic409	1806	1594.82	0	0
Smic410	228	49.8896	14	32.0613
Smic411.t1	507	297.537	21	8.06385
Smic412	1452	1240.82	39	3.59102
Smic413	831	620.117	38	7.00122
Smic414	3327	3115.82	32	1.17338
Smic415	1305	1093.82	11	1.14897
Smic416	6351	6139.82	0	0
Smic417	6318	6106.82	0	0
Smic418	855	644.117	0	0
Smic419	1974	1762.82	9	0.583307
Smic420	504	294.537	25	9.6976
Smic421	561	351.344	15	4.87778
Smic422	1143	931.824	0	0
Smic423	5247	5035.82	31	0.703323
Smic424	834	623.117	10	1.83355
Smic425	1488	1276.82	10	0.894813
Smic426	651	441.109	0	0
Smic427	1695	1483.82	26	2.00196
Smic428	297	100.14	48	54.7644
Smic429	1023	811.824	33	4.64425
Smic430	549	339.379	43	14.476
Smic431	609	399.233	0	0
Smic432	552	342.379	9	3.0033
Smic433	1938	1726.82	88	5.82235
Smic434	2205	1993.82	14	0.802241
Smic435	309	110.055	0	0
Smic436	3054	2842.82	31	1.24588
Smic437	1974	1762.82	81	5.24976
Smic438	768	557.586	50	10.2452
Smic439	666	456.109	51	12.7751
Smic440	465	256.056	4	1.78479
Smic441	1722	1510.82	369	27.9046
Smic442	1227	1015.82	16	1.79955
Smic443	978	766.824	0	0
Smic444	882	671.117	3.00021	0.510759
Smic445	474	265.004	24	10.3472
Smic446	1011	799.824	0	0
Smic447	1551	1339.82	26	2.21712
Smic448	1302	1090.82	137	14.3493
Smic449	618	408.192	56	15.6743
Smic450	1506	1294.82	10	0.882374
Smic451	2376	2164.82	0	0
Smic452	285	90.7644	0	0
Smic453	5406	5194.82	38.029	0.836387
Smic454	222	45.9989	29	72.03
Smic455	7725	7513.82	192	2.91947
Smic456	1506	1294.82	50	4.41187
Smic457	972	760.9	0	0
Smic458	1440	1228.82	73	6.78729
Smic459	1836	1624.82	123	8.64893
Smic460	225	47.8698	0	0
Smic461	5013	4801.82	0	0
Smic462	828	617.117	27	4.99873
Smic463	633	423.109	0	0
Smic464	2460	2248.82	0	0
Smic465	3531	3319.82	0	0
Smic466	1116	904.824	2	0.252539
Smic467	3273	3061.82	0	0
Smic468	426	217.669	0	0
Smic469	13743	13531.8	739	6.23953
Smic470	9507	9295.82	526.286	6.46841
Smic471	327	125.482	36	32.7781
Smic472	573	363.309	14	4.40266
Smic473	4731	4519.82	185	4.67642
Smic474	975	763.824	72	10.7697
Smic475	1473	1261.82	275	24.8999
Smic476	498	288.565	9	3.56338
Smic477	5331	5119.82	312	6.96247
Smic478	2691	2479.82	22	1.0136
Smic479	984	772.824	23	3.40025
Smic480	6744	6532.82	170	2.97311
Smic481	1455	1243.82	0	0
Smic482	867	656.117	0	0
Smic483	2382	2170.82	1	0.0526307
Smic484	1938	1726.82	94	6.21932
Smic485	3915	3703.82	286	8.82225
Smic486	2058	1846.82	45	2.78388
Smic487	1806	1594.82	285	20.4172
Smic488	861	650.117	4	0.702962
Smic489	474	265.004	2	0.862265
Smic490	2007	1795.82	35	2.22673
Smic491	2082	1870.82	14	0.854985
Smic492	1413	1201.82	56	5.32366
Smic493	8466	8254.82	195.12	2.70058
Smic494	14310	14098.8	152.061	1.23225
Smic495	5127	4915.82	0	0
Smic496	13125	12913.8	0	0
