target_id	length	eff_length	est_counts	tpm
Smic172	1038	809.76	37	2.12328
Smic173	819	591.161	14	1.10049
Smic174	318	109.17	0	0
Smic175	1710	1481.76	72	2.25796
Smic176	3033	2804.76	31	0.513603
Smic177	5637	5408.76	108	0.927872
Smic178	2661	2432.76	79	1.509
Smic179	8001	7772.76	0	0
Smic180	4557	4328.76	206	2.21139
Smic181	459	235.039	1	0.197707
Smic182	1824	1595.76	57	1.65985
Smic183	2445	2216.76	16	0.3354
Smic184	300	94.9274	0	0
Smic185	1722	1493.76	51.7774	1.61072
Smic186	849	621.04	36	2.69367
Smic187	1209	980.76	29	1.37403
Smic188	357	141.734	11	3.60646
Smic189	2271	2042.76	59	1.34214
Smic190	1224	995.76	115	5.36667
Smic191	3345	3116.76	158.807	2.36771
Smic192	11589	11360.8	360.203	1.47334
Smic193	1356	1127.76	26.2706	1.08247
Smic194	570	343.299	0	0
Smic195	597	370.09	290	36.4127
Smic196	1416	1187.76	13	0.5086
Smic197	459	235.039	9	1.77936
Smic198	2025	1796.76	213.175	5.51327
Smic199	723	495.552	40	3.75088
Smic200	3342	3113.76	122	1.82069
Smic201	1392	1163.76	7	0.27951
Smic202	4128	3899.76	0	0
Smic203	702	474.601	979	95.8553
Smic204	4152	3923.76	260	3.07916
Smic205	567	340.333	0	0
Smic206	1419	1190.76	0	0
Smic207	1497	1268.76	52	1.90452
Smic208	2016	1787.76	77	2.00144
Smic209	483	258.078	27	4.86155
Smic210	5061	4832.76	110	1.05769
Smic211	4062	3833.76	386	4.67869
Smic212	6291	6062.76	518.022	3.97045
Smic213	525	299.214	4	0.621212
Smic214	273	75.5318	3	1.84567
Smic215	1125	896.76	113	5.8555
Smic216	513	287.478	8	1.29315
Smic217	1197	968.76	80	3.83739
Smic218	822	594.102	15	1.17326
Smic219	402	181.662	2	0.511597
Smic220	621	393.898	12	1.41566
Smic221	981	752.836	32	1.9752
Smic222	10011	9782.76	93	0.441757
Smic223	3162	2933.76	1	0.0158393
Smic224	2043	1814.76	94	2.40697
Smic225	423	201.258	25	5.77229
Smic226	3342	3113.76	57	0.850651
Smic227	3414	3185.76	180	2.62556
Smic228	1110	881.76	41	2.1607
Smic229	1653	1424.76	25	0.81538
Smic230	813	585.22	30	2.38212
Smic231	1779	1550.76	10	0.299652
Smic232	1257	1028.76	0	0
Smic233	603	376.053	0	0
Smic234	1587	1358.76	18	0.61559
Smic235	2103	1874.76	45	1.1154
Smic236	1257	1028.76	20	0.903395
Smic237	1791	1562.76	39	1.15967
Smic238	1830	1601.76	0	0
Smic239	4206	3977.76	107	1.24999
Smic240	3345	3116.76	79	1.17784
Smic241	4983	4754.76	433	4.23176
Smic242	1227	998.76	20	0.930531
Smic243	4314	4085.76	98	1.11459
Smic244	300	94.9274	1	0.48952
Smic245	1416	1187.76	32	1.25194
Smic246	1635	1406.76	99	3.27022
Smic247	4575	4346.76	30	0.320714
Smic248	4995	4766.76	184	1.79373
Smic249	219	40.659	2	2.28578
Smic250	5133	4904.76	161	1.52535
Smic251	6135	5906.76	0	0
Smic252	4254	4025.76	14	0.1616
Smic253	4260	4031.76	0	0
Smic254	888	659.978	9	0.633687
Smic255	2718	2489.76	23	0.429272
Smic256	2100	1871.76	30	0.744789
Smic257	939	710.91	138	9.02042
Smic258	816	588.161	47	3.71333
Smic259	1902	1673.76	128.297	3.56193
Smic260	2829	2600.76	80.7744	1.44323
Smic261	6369	6140.76	455	3.44311
Smic262	1254	1025.76	18	0.815434
Smic263	4779	4550.76	14.022	0.143182
Smic264	1872	1643.76	63	1.781
Smic265	2493	2264.76	15	0.307773
Smic266	1098	869.76	0	0
Smic267	2697	2468.76	3067.01	57.7295
Smic268	1731	1502.76	23	0.711214
Smic269	3525	3296.76	41	0.577908
Smic270	2346	2117.76	7.02509	0.154148
Smic271	507	281.564	599.225	98.8951
Smic272	1887	1658.76	78.7658	2.20656
Smic273	2853	2624.76	4	0.0708162
Smic274	1287	1058.76	0	0
Smic275	2667	2438.76	226	4.30627
Smic276	1050	821.76	9	0.508932
Smic277	963	734.91	13	0.821999
Smic278	11742	11513.8	105	0.423774
Smic279	960	731.91	0	0
Smic280	1503	1274.76	43	1.56748
Smic281	10632	10403.8	0	0
Smic282	285	83.8163	12	6.65296
Smic283	495	269.73	17	2.92874
Smic284	2625	2396.76	307	5.95218
Smic285	729	501.502	25	2.31648
Smic286	471	246.408	70	13.2009
Smic287	9933	9704.76	0	0
Smic288	285	83.8163	0	0
Smic289	9855	9626.76	0	0
Smic290	1692	1463.76	50	1.58731
Smic291	4203	3974.76	72	0.841751
Smic292	417	195.624	1	0.237542
Smic293	375	157.104	15	4.43676
Smic294	3876	3647.76	0	0
Smic295	2931	2702.76	21	0.361055
Smic296	957	728.91	77	4.90884
Smic297	1326	1097.76	33	1.39691
Smic298	1560	1331.76	41	1.43061
Smic299	7095	6866.76	0	0
Smic300	717	489.601	0	0
Smic301	828	600.102	49	3.79431
Smic302	585	358.126	0	0
Smic303	1983	1754.76	31	0.82093
Smic304	1458	1229.76	11	0.415656
Smic305	2694	2465.76	76	1.43227
Smic306	3540	3311.76	0	0
Smic307	6468	6239.76	237	1.76499
Smic308	2484	2255.76	92	1.89521
Smic309	759	531.45	4	0.349752
Smic310	303	97.2175	4	1.91195
Smic311	3351	3122.76	83	1.2351
Smic312	9546	9317.76	19	0.0947554
Smic313	1254	1025.76	84.3363	3.82059
Smic314	1050	821.76	72.6637	4.10898
Smic315	369	151.815	5	1.53045
Smic316	6393	6164.76	25	0.188445
Smic317	837	609.102	53	4.04341
Smic318	2460	2231.76	29	0.603827
Smic319	1623	1394.76	0	0
Smic320	828	600.102	3	0.232305
Smic321	990	761.76	0	0
Smic322	504	278.62	3.29569	0.549661
Smic323	486	261.026	3	0.534072
Smic324	270	73.4729	0	0
Smic325	1023	794.76	0	0
