target_id	length	eff_length	est_counts	tpm
Spis8239	1204	976.723	9	0.538396
Spis8240	1273	1045.72	1	0.0558746
Spis8241	1471	1243.72	0	0
Spis8242	631	404.7	38	5.48632
Spis8243	6163	5935.72	156.146	1.53705
Spis8244	1390	1162.72	0	0
Spis8245	727	500.657	23	2.68422
Spis8246	2605	2377.72	73	1.79388
Spis8247	922	695.153	22	1.84915
Spis8248	574	347.925	128	21.4959
Spis8249	454	229.788	34	8.64535
Spis8250	2410	2182.72	250	6.69225
Spis8251	340	125.795	8.00454	3.71794
Spis8252.t2	2560	2332.72	511	12.7994
Spis8253	397	176	33	10.9555
Spis8254	364	146.468	69	27.5257
Spis8255	580	353.855	191	31.5384
Spis8256.t2	2683	2455.72	247	5.8769
Spis8257.t1	2758	2530.72	205	4.73304
Spis8258	2692	2464.72	11	0.260769
Spis8259	544	318.16	0	0
Spis8260	1060	832.723	345	24.2075
Spis8261	634	407.7	264	37.835
Spis8262	1873	1645.72	41	1.45565
Spis8263	598	371.855	154	24.1979
Spis8264	2518	2290.72	69	1.75998
Spis8265	2638	2410.72	70	1.69661
Spis8266	640	413.7	14	1.9773
Spis8267	1723	1495.72	0	0
Spis8268	1087	859.723	0	0
Spis8269	427	203.987	7	2.00505
Spis8270	676	449.657	52	6.75699
Spis8271	2443	2215.72	91	2.3997
Spis8272	733	506.556	1	0.115346
Spis8273	2500	2272.72	13	0.334216
Spis8274	250	58.2511	258	258.789
Spis8275	517	291.495	25	5.01117
Spis8276	421	198.15	41	12.0899
Spis8277	238	50.7843	1	1.15054
Spis8278	883	656.22	7.73905	0.689079
Spis8279	373	154.497	11	4.16009
Spis8280	460	235.623	4	0.99191
Spis8281	1510	1282.72	1	0.045551
Spis8282	1006	778.723	0	0
Spis8283	466	241.455	0	0
Spis8284	2038	1810.72	73.5797	2.37431
Spis8285	592	365.855	0	0
Spis8286	922	695.153	10.4974	0.88233
Spis8287	997	769.723	0	0
Spis8288	1162	934.723	1	0.0625098
Spis8289	247	56.3435	4.16822	4.32253
Spis8290.t1	1414	1186.72	53	2.6095
Spis8291	1648	1420.72	1104	45.4036
Spis8292.t1	1021	793.723	140	10.306
Spis8293	298	91.556	44	28.08
Spis8294	2575	2347.72	333	8.28759
Spis8295	730	503.556	7	0.812233
Spis8296	1186	958.723	68	4.14425
Spis8297	2191	1963.72	1	0.0297544
Spis8298	1090	862.723	10	0.677266
Spis8299	1618	1390.72	47.6871	2.00351
Spis8300	718	491.657	239	28.4032
Spis8301	4774	4546.72	8	0.102807
Spis8302	2068	1840.72	27	0.85705
Spis8303	1732	1504.72	933	36.229
Spis8304	5086	4858.72	40	0.481026
Spis8305	535	309.316	61	11.5228
Spis8306	8131	7903.72	66	0.487914
Spis8307	1318	1090.72	2	0.107139
Spis8308	694	467.657	65	8.12114
Spis8309	472	247.381	35	8.26669
Spis8310	2785	2557.72	168	3.83784
Spis8311	2434	2206.72	707	18.7198
Spis8312	739	512.505	22	2.50816
Spis8313	580	353.855	22	3.63269
Spis8314	556	330.095	20	3.54015
Spis8315	1267	1039.72	31	1.74211
Spis8316	919	692.153	58	4.89617
Spis8317	769	542.453	10	1.07713
Spis8318.t1	1573	1345.72	97	4.2116
Spis8319	3385	3157.72	804.007	14.877
Spis8320	1342	1114.72	148	7.75757
Spis8321	1519	1291.72	1322	59.7988
Spis8322	1309	1081.72	47	2.53871
Spis8323.t1	2503	2275.72	115	2.95263
Spis8324	2257	2029.72	228	6.5634
Spis8325	3427	3199.72	180	3.28693
Spis8326.t1	3031	2803.72	47	0.979475
Spis8327	637	410.7	0	0
Spis8328	3193	2965.72	43	0.847166
Spis8329	1075	847.723	97	6.68572
Spis8330	1765	1537.72	82.5883	3.13813
Spis8331	595	368.855	187	29.6222
Spis8332.t1	1189	961.723	166	10.0853
Spis8333	1747	1519.72	600	23.0684
Spis8334	1372	1144.72	11	0.561465
Spis8335	1342	1114.72	0	0
Spis8336	17569	17341.7	296	0.99731
Spis8337	1261	1033.72	1304	73.7062
Spis8338	2683	2455.72	53	1.26104
Spis8339	3562	3334.72	80.1502	1.40435
Spis8340	1090	862.723	0	0
Spis8341	1285	1057.72	71	3.92209
Spis8342	361	143.848	206	83.6747
Spis8343	538	312.192	12	2.2459
Spis8344	2038	1810.72	0	0
Spis8345	1018	790.723	2	0.147787
Spis8346	2749	2521.72	7.73815	0.179296
Spis8347	394	173.43	11	3.70595
Spis8348	1651	1423.72	0	0
Spis8349	937	710.084	0	0
Spis8350	796	569.342	0	0
Spis8351	547	321.16	10	1.81932
Spis8352	592	365.855	30	4.79119
Spis8353	859	632.22	327	30.2211
Spis8354	3376	3148.72	299	5.5484
Spis8355.t1	2587	2359.72	125	3.09514
Spis8356	3340	3112.72	497	9.32925
Spis8357	1003	775.723	185	13.9346
Spis8358	910	683.153	26	2.22375
Spis8359	1054	826.723	28	1.97892
Spis8360.t2	844	617.282	268	25.3677
Spis8361.t1	3865	3637.72	144	2.31294
Spis8362	1870	1642.72	122	4.33937
Spis8363.t1	6505	6277.72	75	0.698055
Spis8364	2485	2257.72	0	0
Spis8365	1051	823.723	0	0
Spis8366	907	680.153	1	0.0859061
Spis8367	1246	1018.72	0	0
Spis8368	286	82.5467	4	2.83133
Spis8369	2209	1981.72	0	0
Spis8370	1780	1552.72	1	0.0376302
Spis8371	2227	1999.72	3.14385	0.0918593
Spis8372	1243	1015.72	1.10765	0.0637171
Spis8373	2467	2239.72	0	0
Spis8374	10936	10708.7	118	0.643836
Spis8375	670	443.657	2.10306	0.276972
Spis8376	844	617.282	197	18.6472
Spis8377	577	350.89	15863	2641.47
Spis8378	4108	3880.72	107.817	1.62332
Spis8379	1099	871.723	99	6.63571
Spis8380	3070	2842.72	87	1.7882
Spis8381	355	138.607	49	20.6557
Spis8382	742	515.505	64	7.254
Spis8383	1930	1702.72	367	12.5937
Spis8384.t1	1216	988.723	96	5.67319
Spis8385.t1	628	401.74	27	3.92689
Spis8386.t1	1480	1252.72	488	22.7612
Spis8387	1921	1693.72	132	4.55368
Spis8388	1387	1159.72	51	2.56949
Spis8389	2266	2038.72	243	6.96432
Spis8390	466	241.455	70	16.9392
Spis8391.t1	4582	4354.72	328	4.40093
Spis8392.t1	1495	1267.72	141	6.49868
Spis8393.t1	2488	2260.72	227	5.86691
Spis8394	2080	1852.72	112	3.53214
Spis8395.t1	382	162.449	44	15.8259
Spis8396	496	270.886	239	51.5516
Spis8397	2818	2590.72	19	0.428512
Spis8398	2422	2194.72	95	2.52915
Spis8399	349	133.409	639	279.863
Spis8400	952	724.797	0	0
Spis8401	2197	1969.72	171.617	5.09081
Spis8402	949	721.797	72.944	5.9048
Spis8403	2884	2656.72	0	0
Spis8404	577	350.89	21	3.49687
Spis8405	1672	1444.72	180	7.27979
Spis8406	2104	1876.72	417	12.9827
Spis8407	355	138.607	19	8.00936
Spis8408	1315	1087.72	11	0.590888
Spis8409	844	617.282	50	4.73279
Spis8410	1735	1507.72	61	2.36395
Spis8411	1855	1627.72	1	0.0358963
Spis8412	1981	1753.72	12	0.399808
Spis8413	1675	1447.72	11	0.443954
Spis8414	1915	1687.72	52	1.80025
Spis8415	1387	1159.72	0	0
Spis8416	5875	5647.72	230.669	2.38642
Spis8417	2179	1951.72	340	10.1787
Spis8418.t1	1789	1561.72	1117	41.7907
Spis8419	886	659.22	935	82.8728
Spis8420	3682	3454.72	424	7.17106
Spis8421	2734	2506.72	153	3.56628
Spis8422	520	294.436	212	42.0702
