target_id	length	eff_length	est_counts	tpm
Smic171	1632	1424.85	47	2.65952
Smic172	1038	830.845	40	3.88162
Smic173	819	612.055	8	1.05384
Smic174	318	121.323	0	0
Smic175	1710	1502.85	16	0.858378
Smic176	3033	2825.85	16	0.456504
Smic177	5637	5429.85	58.9674	0.875583
Smic178	2661	2453.85	48	1.57713
Smic179	8001	7793.85	2	0.0206896
Smic180	4557	4349.85	100	1.85353
Smic181	459	253.66	1	0.31785
Smic182	1824	1616.85	25	1.24665
Smic183	2445	2237.85	7	0.252198
Smic184	300	106.094	0	0
Smic185	1722	1514.85	19.2308	1.02353
Smic186	849	641.992	2	0.251173
Smic187	1209	1001.85	12	0.965726
Smic188	357	155.915	6	3.10267
Smic189	2271	2063.85	11	0.429723
Smic190	1224	1016.85	69	5.47101
Smic191	3345	3137.85	100.01	2.56971
Smic192	11589	11381.8	246.952	1.74934
Smic193	1356	1148.85	11	0.771977
Smic194	570	363.564	1	0.221764
Smic195	597	390.413	177	36.5529
Smic196	1416	1208.85	14	0.93375
Smic197	459	253.66	3	0.953549
Smic198	2025	1817.85	78.9853	3.50318
Smic199	723	516.114	19	2.96812
Smic200	3342	3134.85	45	1.15736
Smic201	1392	1184.85	8	0.544379
Smic202	4128	3920.85	0	0
Smic203	702	495.114	574	93.4717
Smic204	4152	3944.85	319	6.51979
Smic205	567	360.564	0	0
Smic206	1419	1211.85	0	0
Smic207	1497	1289.85	53	3.31292
Smic208	2016	1808.85	29	1.29262
Smic209	483	277.231	27	7.85227
Smic210	5061	4853.85	133	2.20922
Smic211	4062	3854.85	476	9.95573
Smic212	6291	6083.85	381.161	5.0513
Smic213	525	318.765	5	1.26465
Smic214	273	84.4592	20	19.0922
Smic215	1125	917.845	144	12.6493
Smic216	513	306.796	6	1.57679
Smic217	1197	989.845	62	5.05007
Smic218	822	615.055	11	1.44196
Smic219	402	198.031	0	0
Smic220	621	414.372	15	2.9186
Smic221	981	773.845	16	1.66701
Smic222	10011	9803.85	60	0.493433
Smic223	3162	2954.85	4	0.109144
Smic224	2043	1835.85	77.1619	3.38875
Smic225	423	218.533	17	6.272
Smic226	3342	3134.85	162	4.16651
Smic227	3414	3206.85	96	2.41361
Smic228	1110	902.845	7	0.625112
Smic229	1653	1445.85	31	1.72867
Smic230	813	606.055	7	0.931235
Smic231	1779	1571.85	2	0.102587
Smic232	1257	1049.85	3	0.230393
Smic233	603	396.413	0	0
Smic234	1587	1379.85	10.0311	0.586126
Smic235	2103	1895.85	33	1.40341
Smic236	1257	1049.85	28	2.15033
Smic237	1791	1583.85	21	1.069
Smic238	1830	1622.85	73	3.62676
Smic239	4206	3998.85	130	2.62109
Smic240	3345	3137.85	174	4.47086
Smic241	4983	4775.85	302	5.09835
Smic242	1227	1019.85	4	0.316227
Smic243	4314	4106.85	67	1.31534
Smic244	300	106.094	1	0.759945
Smic245	1416	1208.85	15	1.00045
Smic246	1635	1427.85	54	3.0492
Smic247	4575	4367.85	3	0.0553767
Smic248	4995	4787.85	95	1.59977
Smic249	219	45.6434	0	0
Smic250	5133	4925.85	155	2.53702
Smic251	6135	5927.85	0	0
Smic252	4254	4046.85	11	0.219154
Smic253	4260	4052.85	0	0
Smic254	888	680.992	3	0.355183
Smic255	2718	2510.85	33	1.05966
Smic256	2100	1892.85	40	1.7038
Smic257	939	731.919	62	6.8297
Smic258	816	609.055	26	3.44184
Smic259	1902	1694.85	69.6871	3.31509
Smic260	2829	2621.85	72.9979	2.24479
Smic261	6369	6161.85	210	2.74778
Smic262	1254	1046.85	13	1.00123
Smic263	4779	4571.85	34.6872	0.611717
Smic264	1872	1664.85	21	1.01699
