target_id	length	eff_length	est_counts	tpm
Smic171	1632	1412.7	81	3.90688
Smic172	1038	818.697	171	14.2321
Smic173	819	600.464	9	1.02129
Smic174	318	114.093	0	0
Smic175	1710	1490.7	79	3.61104
Smic176	3033	2813.7	65	1.57409
Smic177	5637	5417.7	163	2.05006
Smic178	2661	2441.7	150	4.18595
Smic179	8001	7781.7	0	0
Smic180	4557	4337.7	322	5.05814
Smic181	459	243.363	8	2.23991
Smic182	1824	1604.7	149	6.32685
Smic183	2445	2225.7	31	0.949052
Smic184	300	98.9342	0	0
Smic185	1722	1502.7	64	2.90204
Smic186	849	630.402	35	3.78307
Smic187	1209	989.697	27	1.8589
Smic188	357	148.014	14	6.44497
Smic189	2271	2051.7	123	4.08495
Smic190	1224	1004.7	233	15.8021
Smic191	3345	3125.7	279.586	6.09485
Smic192	11589	11369.7	641.251	3.84303
Smic193	1356	1136.7	63	3.77651
Smic194	570	353.052	21	4.05299
Smic195	597	379.753	536	96.174
Smic196	1416	1196.7	38	2.16368
Smic197	459	243.363	10	2.79988
Smic198	2025	1805.7	342.778	12.9349
Smic199	723	504.947	54	7.28689
Smic200	3342	3122.7	117	2.553
Smic201	1392	1172.7	19	1.10398
Smic202	4128	3908.7	0	0
Smic203	702	484.147	1493.98	210.263
Smic204	4152	3932.7	747	12.9427
Smic205	567	350.052	0	0
Smic206	1419	1199.7	0	0
Smic207	1497	1277.7	96	5.11962
Smic208	2016	1796.7	80	3.03396
Smic209	483	266.728	96	24.5244
Smic210	5061	4841.7	357	5.02418
Smic211	4062	3842.7	1225	21.7217
Smic212	6291	6071.7	1001	11.2336
Smic213	525	308.41	16	3.53497
Smic214	273	78.2736	72	62.6775
Smic215	1125	905.697	418	31.4476
Smic216	513	296.501	8	1.83848
Smic217	1197	977.697	220	15.3325
Smic218	822	603.464	29	3.27447
Smic219	402	188.763	2	0.721952
Smic220	621	403.595	49	8.27264
Smic221	981	761.928	45	4.02432
Smic222	10011	9791.7	176	1.22475
Smic223	3162	2942.7	4	0.0926209
Smic224	2043	1823.7	244.899	9.15015
Smic225	423	208.723	80	26.1165
Smic226	3342	3122.7	567	12.3722
Smic227	3414	3194.7	322	6.86785
Smic228	1110	890.697	19	1.45351
Smic229	1653	1433.7	54	2.56644
Smic230	813	594.464	25	2.86555
Smic231	1779	1559.7	10	0.436872
Smic232	1257	1037.7	0	0
Smic233	603	385.753	0	0
Smic234	1587	1367.7	18	0.896762
Smic235	2103	1883.7	67	2.42358
Smic236	1257	1037.7	40	2.62654
Smic237	1791	1571.7	44	1.90756
Smic238	1830	1610.7	16	0.676863
Smic239	4206	3986.7	235	4.01651
Smic240	3345	3125.7	455	9.9188
Smic241	4983	4763.7	808	11.5574
Smic242	1227	1007.7	21	1.41999
Smic243	4314	4094.7	184	3.0619
Smic244	300	98.9342	2	1.37746
Smic245	1416	1196.7	60	3.41634
Smic246	1635	1415.7	183	8.80796
Smic247	4575	4355.7	38	0.594457
Smic248	4995	4775.7	244	3.48135
Smic249	219	42.0015	4	6.48918
Smic250	5133	4913.7	421	5.83805
Smic251	6135	5915.7	0	0
Smic252	4254	4034.7	16	0.270211
Smic253	4260	4040.7	0	0
Smic254	888	669.139	15	1.52746
Smic255	2718	2498.7	61	1.66345
Smic256	2100	1880.7	73	2.64483
Smic257	939	719.928	138	13.0612
Smic258	816	597.464	63	7.18494
Smic259	1902	1682.7	268.76	10.8831
Smic260	2829	2609.7	142.544	3.72181
Smic261	6369	6149.7	797	8.83078
Smic262	1254	1034.7	19	1.25122
Smic263	4779	4559.7	75.1403	1.12287
Smic264	1872	1652.7	64	2.63865
Smic265	2493	2273.7	13	0.389588
Smic266	1098	878.697	0	0
Smic267	2697	2477.7	5333.95	146.688
Smic268	1731	1511.7	32	1.44238
Smic269	3525	3305.7	45	0.927564
Smic270	2346	2126.7	51.201	1.64046
Smic271	507	290.531	1363.43	319.768
Smic272	1887	1667.7	192.544	7.86696
Smic273	2853	2633.7	54	1.39708
Smic274	1287	1067.7	5	0.319092
Smic275	2667	2447.7	384	10.6898
Smic276	1050	830.697	10	0.820261
Smic277	963	743.928	19	1.74027
Smic278	11742	11522.7	154.848	0.915684
Smic279	960	740.928	5.21826	0.479893
Smic280	1503	1283.7	78	4.14025
Smic281	10632	10412.7	0	0
Smic282	285	87.1725	13	10.1615
Smic283	495	278.617	25	6.11401
Smic284	2625	2405.7	478	13.5388
Smic285	729	510.896	58	7.73552
Smic286	471	254.962	118	31.5356
Smic287	9933	9713.7	8	0.0561177
Smic288	285	87.1725	5	3.90827
Smic289	9855	9635.7	0	0
Smic290	1692	1472.7	101	4.67307
Smic291	4203	3983.7	201	3.43799
Smic292	417	202.91	32	10.7459
Smic293	375	163.852	28	11.6439
Smic294	3876	3656.7	0	0
Smic295	2931	2711.7	48	1.20613
Smic296	957	737.928	98	9.04912
Smic297	1326	1106.7	39	2.40121
Smic298	1560	1340.7	105.463	5.36001
Smic299	7095	6875.7	0	0
Smic300	717	499.048	0	0
Smic301	828	609.464	102	11.4037
Smic302	585	368.015	3	0.555456
Smic303	1983	1763.7	49	1.89307
Smic304	1458	1238.7	35	1.9253
Smic305	2694	2474.7	205	5.64451
Smic306	3540	3320.7	0	0
Smic307	6468	6248.7	572	6.23736
Smic308	2484	2264.7	178	5.35555
Smic309	759	540.633	13	1.63846
Smic310	303	101.478	5	3.35731
Smic311	3351	3131.7	181.397	3.94679
Smic312	9546	9326.7	27	0.197256
Smic313	1254	1034.7	184.036	12.1195
Smic314	1050	830.697	141.858	11.636
Smic315	369	158.417	11	4.73136
Smic316	6393	6173.7	50	0.551848
Smic317	837	618.464	104	11.4581
Smic318	2460	2240.7	58	1.76376
Smic319	1623	1403.7	0	0
Smic320	828	609.464	4	0.447205
Smic321	990	770.852	0	0
Smic322	504	287.589	10	2.36931
Smic323	486	269.701	0	0
Smic324	270	76.0243	11	9.85904
Smic325	1023	803.697	11	0.932599
Smic326	750	531.686	11	1.40972
Smic327	321	116.793	7	4.08392
Smic328	597	379.753	0	0
Smic329	204	32.6235	1	2.08864
Smic330	2580	2360.7	133	3.83889
Smic331	3777	3557.7	0	0
Smic332	1272	1052.7	0	0
Smic333	7038	6818.7	366.799	3.6654
Smic334	3816	3596.7	234	4.43309
Smic335	2499	2279.7	0	0
Smic336	6087	5867.7	0	0
Smic337	636	418.554	73	11.8841
Smic338	2859	2639.7	321	8.28601
Smic339	435	220.246	0	0
Smic340	1227	1007.7	124	8.38468
Smic341	600	382.753	11	1.95825
Smic342	1953	1733.7	0	0
Smic343	1779	1559.7	22	0.961118
Smic344	3546	3326.7	392	8.02911
Smic345	708	490.147	118	16.404
Smic346	297	96.5441	0	0
Smic347	270	76.0243	0	0
Smic348	1650	1430.7	0	0
Smic349	1494	1274.7	0	0
Smic350	3786	3566.7	0	0
Smic351	669	451.424	13	1.96224
Smic352	1467	1247.7	154.075	8.41428
Smic353	627	409.595	26	4.32526
Smic354	3558	3338.7	222	4.53075
Smic355	10131	9911.7	0	0
Smic356	1068	848.697	147	11.8021
Smic357	798	579.524	76	8.93587
Smic358	2082	1862.7	2	0.0731614
Smic359	5322	5102.7	68	0.908037
Smic360	1035	815.697	59	4.92853
Smic361	1260	1040.7	416	27.2373
Smic362	1170	950.697	97	6.95223
Smic363	1683	1463.7	507	23.6021
Smic364	399	185.896	2	0.733083
Smic365	1263	1043.7	103	6.72446
Smic366	2655	2435.7	66	1.84635
Smic367	246	59.3136	5	5.74394
Smic368	3534	3314.7	96.4856	1.98341
Smic369	1677	1457.7	71	3.31883
Smic370	1578	1358.7	13	0.651951
Smic371	288	89.4927	1	0.761389
