target_id	length	eff_length	est_counts	tpm
Smic1	426	219.757	0	0
Smic2	981	773.124	5	0.556794
Smic3	1044	835.733	0	0
Smic4	10524	10315.7	293	2.44535
Smic5	2184	1975.73	224	9.76097
Smic6	528	321.044	46	12.3358
Smic7	852	644.466	45	6.01154
Smic8	1980	1771.73	135	6.56007
Smic9	513	306.108	6	1.68752
Smic10	3087	2878.73	218	6.51971
Smic11	4134	3925.73	72	1.57901
Smic12	6045	5836.73	258	3.8056
Smic13	2631	2422.73	38	1.35037
Smic14	312	111.784	32	24.6459
Smic15	2481	2272.73	424	16.0617
Smic16	708	500.751	77	13.2386
Smic17	837	629.466	189	25.8501
Smic18	1068	859.733	183	18.3257
Smic19	1980	1771.73	6	0.291559
Smic20	1905	1696.73	0	0
Smic21	996	787.733	0	0
Smic22	1980	1771.73	0	0
Smic23	1821	1612.73	211	11.264
Smic24	2373	2164.73	201	7.99402
Smic25	1173	964.733	106	9.45958
Smic26	5430	5221.73	237.073	3.90878
Smic27	11499	11290.7	70	0.533764
Smic28	9642	9433.73	713	6.50698
Smic29	3465	3256.73	252	6.6618
Smic30	5217	5008.73	49	0.842251
Smic31	1281	1072.73	209	16.7737
Smic32	1134	925.733	79	7.34708
Smic33	747	539.697	36	5.74283
Smic34	4509	4300.73	595.821	11.9274
Smic35	663	455.846	6	1.1332
Smic36	3702	3493.73	133.139	3.28088
Smic37	1983	1774.73	47	2.28002
Smic38	648	440.891	0	0
Smic39	1083	874.733	0	0
Smic40	4248	4039.73	156	3.32465
Smic41	8046	7837.73	223	2.44956
Smic42	3612	3403.73	138	3.49057
Smic43	2310	2101.73	146	5.98065
Smic44	345	141.407	0	0
Smic45	5580	5371.73	145.463	2.33137
Smic46	717	509.751	0	0
Smic47	2067	1858.73	0	0
Smic48	1422	1213.73	158	11.2075
Smic49	1440	1231.73	63	4.40349
Smic50	7827	7618.73	10	0.113003
Smic51	894	686.332	17	2.13249
Smic52	375	169.796	5	2.53522
Smic53	1182	973.733	0	0
Smic54	750	542.697	39	6.18701
Smic55	2547	2338.73	4	0.147249
Smic56	360	155.517	0	0
Smic57	1452	1243.73	68	4.70712
Smic58	336	133.107	0	0
Smic59	669	461.846	0	0
Smic60	2397	2188.73	77	3.0288
Smic61	1974	1765.73	95	4.63204
Smic62	867	659.466	82	10.7052
Smic63	1680	1471.73	92	5.38186
Smic64	384	178.586	0	0
Smic65	6501	6292.73	0	0
Smic66	867	659.466	0	0
Smic67	528	321.044	15	4.02254
Smic68	645	437.891	43	8.45426
Smic69	696	488.751	0	0
Smic70	2052	1843.73	31	1.44756
Smic71	558	351.009	13	3.18858
Smic72	7701	7492.73	0	0
Smic73	1680	1471.73	0	0
Smic74	1659	1450.73	0	0
Smic75	471	264.225	0	0
Smic76	1341	1132.73	3	0.228017
Smic77	1809	1600.73	0	0
Smic78	408	202.049	0	0
Smic79	5526	5317.73	147.237	2.38377
Smic80	8853	8644.73	0	0
Smic81	3081	2872.73	0	0
Smic82	2970	2761.73	0	0
Smic83	11577	11368.7	64	0.484665
Smic84	2085	1876.73	32	1.46798
Smic85	687	479.799	7	1.25607
Smic86	2862	2653.73	17	0.551525
Smic87	4305	4096.73	28.4398	0.597672
Smic88	4017	3808.73	7	0.158231
Smic89	2373	2164.73	8.00724	0.318458
Smic90	9591	9382.73	120	1.1011
Smic91	591	383.973	0	0
Smic92	3213	3004.73	57	1.63321
Smic93	3789	3580.73	199	4.7847
Smic94	3246	3037.73	64	1.81386
Smic95	801	593.527	448	64.9847
Smic96	3297	3088.73	243	6.77328
Smic97	2724	2515.73	78	2.66934
Smic98	237	53.4577	0	0
Smic99	8709	8500.73	297	3.00797
Smic100	1356	1147.73	65	4.8758
Smic101	4716	4507.73	80	1.52794
Smic102	5841	5632.73	12	0.183415
Smic103	750	542.697	0	0
Smic104	207	34.8107	45	111.294
Smic105	1641	1432.73	135	8.11226
Smic106	450	243.48	0	0
Smic107	1383	1174.73	17	1.2459
Smic108	1815	1606.73	56.6486	3.03542
Smic109	1257	1048.73	80	6.56747
Smic110	960	752.124	63	7.21148
Smic111	432	225.712	20	7.62866
Smic112	1224	1015.73	0	0
Smic113	1011	802.733	6	0.643507
Smic114	981	773.124	0	0
Smic115	1725	1516.73	61	3.46253
Smic116	1752	1543.73	80	4.4616
Smic117	1485	1276.73	81	5.46208
Smic118	261	70.273	5	6.12569
Smic119	10275	10066.7	12	0.102628
Smic120	1596	1387.73	104	6.45209
Smic121	8121	7912.73	0	0
Smic122	5316	5107.73	0	0
Smic123	3126	2917.73	5.00252	0.14761
Smic124	336	133.107	52	33.6337
Smic125	489	282.225	0	0
Smic126	240	55.6528	14	21.6578
Smic127	288	91.3862	245	230.812
Smic128	1158	949.733	0	0
Smic129	12531	12322.7	428	2.99027
Smic130	9963	9754.73	3	0.0264776
Smic131	15693	15484.7	556	3.09132
Smic132	4320	4111.73	323.796	6.77985
Smic133	651	443.891	0	0
Smic134	1536	1327.73	0	0
Smic135	8673	8464.73	201	2.04435
Smic136	4059	3850.73	135	3.01831
Smic137	1191	982.733	196	17.1709
Smic138	1473	1264.73	229.02	15.5901
Smic139	1593	1384.73	8	0.49739
Smic140	318	117.022	0	0
Smic141	972	764.124	56	6.30954
Smic142	9054	8845.73	0	0
Smic143	720	512.751	13	2.18278
Smic144	2163	1954.73	75	3.30329
Smic145	3831	3622.73	46	1.09319
Smic146	300	101.448	13	11.0325
Smic147	1923	1714.73	35	1.7573
Smic148	2754	2545.73	463	15.6582
Smic149	855	647.466	44	5.85072
Smic150	726	518.751	26	4.31507
Smic151	1697	1488.73	0	0
Smic152	2064	1855.73	0	0
Smic153	1056	847.733	0	0
Smic154	1716	1507.73	102	5.82437
Smic155	726	518.751	42	6.9705
Smic156	897	689.263	17	2.12343
Smic157	981	773.124	147	16.3697
Smic158	615	407.932	3	0.63315
Smic159	2568	2359.73	156	5.69161
Smic160	789	581.585	23	3.40477
Smic161	1929	1720.73	21	1.0507
Smic162	618	410.932	0	0
Smic163	1587	1378.73	8	0.499555
Smic164	222	43.7492	5	9.83951
Smic165	939	731.124	0	0
Smic166	8343	8134.73	0	0
Smic167	1125	916.733	39	3.66265
Smic168	282	86.5372	0	0
Smic169	942	734.124	0	0
Smic170	1062	853.733	56	5.64728
Smic171	1632	1423.73	95	5.74471
Smic172	1038	829.733	57	5.91439
Smic173	819	611.466	9	1.2672
Smic174	318	117.022	0	0
Smic175	1710	1501.73	24	1.37592
Smic176	3033	2824.73	39.6391	1.20815
Smic177	5637	5428.73	102	1.61761
Smic178	2661	2452.73	69	2.42199
Smic179	8001	7792.73	0	0
Smic180	4557	4348.73	168	3.32598
Smic181	459	252.431	0	0
Smic182	1824	1615.73	94	5.00878
Smic183	2445	2236.73	39	1.50115
Smic184	300	101.448	2	1.69731
Smic185	1722	1513.73	76.0243	4.32391
Smic186	849	641.466	60	8.05288
Smic187	1209	1000.73	39	3.35521
Smic188	357	152.673	42	23.6843
Smic189	2271	2062.73	29	1.2104
Smic190	1224	1015.73	227	19.2406
Smic191	3345	3136.73	147.765	4.05571
Smic192	11589	11380.7	368.374	2.78671
Smic193	1356	1147.73	36	2.70044
Smic194	570	363.009	4	0.948671
Smic195	597	389.973	296	65.3478
Smic196	1416	1207.73	21	1.497
Smic197	459	252.431	13	4.43378
Smic198	2025	1816.73	168.678	7.99359
Smic199	723	515.751	55	9.18114
Smic200	3342	3133.73	158	4.34079
Smic201	1392	1183.73	31	2.25466
Smic202	4128	3919.73	0	0
Smic203	702	494.751	1255	218.389
Smic204	4152	3943.73	518	11.3083
Smic205	567	360.009	0	0
Smic206	1419	1210.73	0	0
Smic207	1497	1288.73	73	4.87678
Smic208	2016	1807.73	37	1.76214
Smic209	483	276.225	41	12.7789
Smic210	5061	4852.73	290	5.145
Smic211	4062	3853.73	1033	23.0777
Smic212	6291	6082.73	623.186	8.82047
Smic213	525	318.076	31	8.39081
Smic214	273	79.3965	39	42.2899
Smic215	1125	916.733	193	18.1254
Smic216	513	306.108	7	1.96878
Smic217	1197	988.733	178	15.4994
Smic218	822	614.466	7	0.980785
Smic219	402	196.229	0	0
Smic220	621	413.891	26	5.4083
Smic221	981	773.124	48	5.34522
Smic222	10011	9802.73	66	0.579656
Smic223	3162	2953.73	2	0.0582951
Smic224	2043	1834.73	164.213	7.70563
Smic225	423	216.757	100	39.7193
Smic226	3342	3133.73	265	7.28043
Smic227	3414	3205.73	156	4.18958
Smic228	1110	901.733	31	2.95976
Smic229	1653	1444.73	63	3.75428
Smic230	813	605.527	8	1.13744
Smic231	1779	1570.73	6	0.328868
Smic232	1257	1048.73	0	0
Smic233	603	395.973	0	0
Smic234	1587	1378.73	36	2.248
Smic235	2103	1894.73	47	2.13562
Smic236	1257	1048.73	25	2.05234
Smic237	1791	1582.73	30	1.63188
Smic238	1830	1621.73	32	1.69881
Smic239	4206	3997.73	249	5.3624
Smic240	3345	3136.73	503	13.8059
Smic241	4983	4774.73	732	13.1988
Smic242	1227	1018.73	10	0.845109
Smic243	4314	4105.73	74	1.55172
Smic244	300	101.448	0	0
Smic245	1416	1207.73	76	5.41771
Smic246	1635	1426.73	179	10.8015
Smic247	4575	4366.73	26	0.512614
Smic248	4995	4786.73	185	3.32741
Smic249	219	42.0969	0	0
Smic250	5133	4924.73	199	3.47891
Smic251	6135	5926.73	0	0
Smic252	4254	4045.73	0	0
Smic253	4260	4051.73	0	0
Smic254	888	680.332	5	0.632736
Smic255	2718	2509.73	81	2.77863
Smic256	2100	1891.73	47	2.139
Smic257	939	731.124	64	7.53637
